World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
95,Tufts University,USA,54,60,48,182,166,160,93,85,84,51.22
97,Arizona State University,USA,55,367+,455,66,143,85,76,140,21,51.13
102,"Texas A&M University, College Station",USA,56,339,108,46,77,98,88,143,201,50.43
105,Case Western Reserve University,USA,57,50,215,195,137,106,59,74,111,50.28
106,Indiana University - Bloomington,USA,58,134,35,178,180,143,161,190,178,50.26
113,Georgetown University,USA,59,159,34,218+,298,321,321,204,122,49.92
118,Michigan State University,USA,60,112,162,218+,88,123,65,111,136,49.74
120,Rice University,USA,61,52,161,95,255,150,59,130,76,49.73
121,Baylor College of Medicine,USA,62,367+,567+,218+,113,41,101,44,199,49.7
127,University of Colorado Denver,USA,63,367+,567+,140,135,110,128,66,72,49.48
137,University of Miami,USA,64,367+,241,218+,159,130,82,112,73,49.09
138,Stony Brook University,USA,65,186,567+,58,173,84,93,134,96,49.09
139,University of Texas at Dallas,USA,66,367+,159,218+,250,151,59,49,313,49.05
141,University of Iowa,USA,67,233,296,167,103,83,115,112,121,49.01
142,Southern Methodist University,USA,68,179,28,218+,624,655,368,646,824,48.99
143,Icahn School of Medicine at Mount Sinai,USA,69,367+,567+,218+,160,71,161,63,101,48.96
146,University of Alabama at Birmingham,USA,70,367+,567+,218+,141,124,128,71,130,48.79
154,"University of California, Santa Cruz",USA,71,175,567+,100,243,49,115,99,183,48.59
157,University of Cincinnati,USA,72,188,86,218+,150,171,128,127,263,48.56
159,Wake Forest University,USA,73,265,83,218+,249,244,128,125,124,48.52
164,Indiana University-Purdue University Indianapolis,USA,74,367+,492,218+,187,190,125,122,79,48.28
166,Oregon Health & Science University,USA,75,367+,567+,128,184,115,125,105,144,48.23
171,Yeshiva University,USA,76,200,567+,218+,195,91,161,109,128,48.11
175,"University of Maryland, Baltimore",USA,77,367+,567+,218+,125,112,197,116,180,48.05
181,University of New Mexico,USA,78,367+,567+,218+,223,170,82,147,100,47.95
183,University of Massachusetts Medical School,USA,79,367+,567+,80,296,76,234,122,143,47.85
184,University of Houston,USA,80,367+,42,218+,310,257,511,349,156,47.83
187,Iowa State University,USA,81,286,186,109,151,178,82,184,339,47.71
189,Wayne State University,USA,82,367+,183,218+,189,258,125,176,117,47.67
190,University of South Florida - Tampa,USA,83,367+,418,218+,233,251,197,164,70,47.66
194,University of Missouri–Columbia,USA,84,250,88,98,222,226,161,242,150,47.59
196,University of Kansas,USA,85,228,91,218+,212,161,161,235,127,47.52
198,University of Georgia,USA,86,93,188,172,181,132,234,256,82,47.5
202,George Washington University,USA,87,192,56,218+,301,227,264,235,326,47.46
203,University of Illinois at Chicago,USA,88,367+,541,218+,126,196,287,179,129,47.39
214,"University of California, Riverside",USA,89,247,567+,218+,209,113,161,169,194,47.13
218,University of Connecticut,USA,90,296,259,218+,168,193,197,190,186,47.06
219,University of Massachusetts Amherst,USA,91,212,141,159,198,191,212,200,356,47.05
227,"University of Tennessee, Knoxville",USA,92,319,117,218+,196,187,197,219,449,46.96
232,North Carolina State University,USA,93,251,228,218+,157,206,182,242,161,46.89
234,University of Texas Health Science Center at San Antonio,USA,94,367+,567+,218+,314,229,197,140,315,46.88
249,University of Texas Health Science Center at Houston,USA,95,367+,567+,155,257,162,212,190,337,46.56
252,Florida State University,USA,96,367+,334,218+,200,184,136,225,411,46.53
254,Thomas Jefferson University,USA,97,158,567+,218+,333,334,161,179,502,46.47
256,Virginia Polytechnic Institute and State University,USA,98,283,152,218+,201,264,234,285,181,46.46
258,Drexel University,USA,99,367+,233,218+,362,338,287,273,91,46.43
259,Virginia Commonwealth University,USA,100,367+,403,150,264,253,321,213,206,46.43
260,Oregon State University,USA,101,189,239,218+,263,148,161,235,389,46.42
264,Lehigh University,USA,102,367+,47,218+,615,542,511,511,534,46.4
267,University of Kentucky,USA,103,332,290,218+,182,216,321,231,447,46.37
271,Colorado State University - Fort Collins,USA,104,211,493,148,244,203,234,231,257,46.32
272,Tulane University,USA,105,324,144,218+,365,299,264,251,258,46.31
273,"University at Buffalo, The State University of New York",USA,106,367+,398,218+,203,298,287,235,237,46.3
274,Brandeis University,USA,107,51,342,78,549,195,428,330,249,46.29
275,Northeastern University,USA,108,316,125,218+,370,312,264,362,86,46.29
281,University of Delaware,USA,109,318,337,135,272,304,234,292,120,46.21
282,Rensselaer Polytechnic Institute,USA,110,137,142,218+,402,346,182,292,210,46.19
289,City College of New York,USA,111,31,187,218+,680,422,511,590,358,46.12
291,University of Texas at San Antonio,USA,112,367+,567+,218+,445,376,197,216,254,46.1
297,Medical College of Wisconsin,USA,113,367+,567+,218+,337,284,321,219,659,45.97
298,University of Louisville,USA,114,367+,484,218+,338,405,368,300,105,45.97
300,University of South Carolina - Columbia,USA,115,367+,299,185,262,367,146,273,649,45.95
303,Medical University of South Carolina,USA,116,367+,567+,218+,316,364,287,231,508,45.94
314,University of Nebraska–Lincoln,USA,117,165,207,218+,278,262,234,311,456,45.8
323,Rush University,USA,118,367+,567+,218+,427,404,197,260,871+,45.71
324,University of Vermont,USA,119,198,256,218+,357,288,368,285,397,45.7
326,Boston College,USA,120,367+,97,218+,557,363,197,402,386,45.65
332,Louisiana State University - Baton Rouge,USA,121,270,177,218+,292,215,197,353,458,45.61
339,University of Oregon,USA,122,346,567+,218+,378,217,161,295,729,45.55
350,University of Oklahoma - Norman Campus,USA,123,367+,150,218+,383,240,234,362,474,45.49
351,Wesleyan University,USA,124,154,61,218+,983,506,812+,850,871+,45.48
353,Kansas State University,USA,125,130,229,218+,373,320,212,358,294,45.47
359,University of New Hampshire,USA,126,367+,318,79,531,273,234,362,596,45.42
360,College of William and Mary,USA,127,367+,85,218+,611,459,321,511,809,45.42
361,San Diego State University,USA,128,248,204,218+,467,302,264,339,509,45.41
364,Saint Louis University,USA,129,367+,261,202,458,293,428,330,286,45.39
365,Colorado School of Mines,USA,130,367+,81,218+,668,601,321,565,690,45.39
378,University of Texas Medical Branch at Galveston,USA,131,367+,567+,218+,401,311,321,324,333,45.3
380,"Washington State University, Pullman",USA,132,367+,301,131,334,234,428,362,298,45.29
381,Temple University,USA,133,272,553,218+,326,349,511,349,211,45.29
388,"University at Albany, SUNY",USA,134,180,567+,165,411,374,212,353,531,45.22
394,University of Central Florida,USA,135,367+,501,218+,381,386,511,381,159,45.18
399,University of Nebraska Medical Center,USA,136,367+,567+,218+,463,399,368,344,253,45.16
403,Brigham Young University,USA,137,298,361,218+,498,424,287,424,134,45.15
409,University of Alabama - Tuscaloosa,USA,138,325,140,218+,511,490,368,471,314,45.14
412,Oklahoma State University–Stillwater,USA,139,239,153,218+,447,648,428,471,303,45.13
414,George Mason University,USA,140,367+,567+,98,450,371,264,388,526,45.13
424,Georgia Regents University,USA,141,367+,567+,218+,482,418,368,341,481,45.09
428,University of Denver,USA,142,312,101,218+,901,522,511,590,760,45.08
429,University of Arkansas for Medical Sciences,USA,143,367+,567+,218+,501,565,812+,344,340,45.08
437,Loyola University Chicago,USA,144,367+,366,218+,522,438,511,353,713,45.03
441,West Virginia University,USA,145,328,178,218+,441,409,428,437,617,45.02
444,Miami University,USA,146,367+,102,218+,715,543,511,659,871+,45
445,University of Dayton,USA,147,348,90,218+,988,818,511,781,675,44.99
454,"University of Nevada, Reno",USA,148,367+,364,218+,542,382,264,381,708,44.93
460,Ohio University,USA,149,205,174,218+,590,472,812+,565,224,44.91
463,Syracuse University,USA,150,138,221,218+,453,494,428,495,392,44.91
466,University of Wyoming,USA,151,367+,230,218+,534,316,321,457,380,44.89
469,Texas Tech University (TTU),USA,152,367+,184,218+,455,618,287,511,809,44.87
476,University of Oklahoma Health Sciences Center,USA,153,367+,567+,218+,580,461,511,375,482,44.86
480,Illinois Institute of Technology,USA,154,274,114,218+,784,713,511,715,861,44.85
483,Clemson University,USA,155,367+,535,218+,433,497,645,396,510,44.83
488,University of Hawaii at Manoa,USA,156,367+,435,153,448,213,368,457,490,44.82
489,University of Nebraska Omaha,USA,157,367+,365,218+,704,606,428,396,871+,44.81
493,"University of Maryland, Baltimore County",USA,158,367+,567+,218+,587,391,428,402,423,44.8
508,Creighton University,USA,159,367+,567+,218+,824,724,368,402,615,44.75
509,Georgia State University,USA,160,367+,405,218+,449,484,511,457,360,44.74
510,University of Wisconsin–Milwaukee,USA,161,229,248,218+,516,491,511,503,871+,44.74
516,SUNY Downstate Medical Center,USA,162,367+,567+,155,756,446,511,437,660,44.72
519,New Mexico State University,USA,163,367+,432,218+,711,585,321,424,871+,44.71
522,University of Mississippi - Oxford Campus,USA,164,367+,567+,218+,508,851,428,424,611,44.7
543,University of Akron,USA,165,367+,400,218+,656,653,645,606,166,44.65
546,New York Medical College,USA,166,367+,567+,218+,752,622,812+,437,719,44.64
549,Auburn University,USA,167,367+,232,218+,472,569,368,606,425,44.63
550,University of Arkansas - Fayetteville,USA,168,204,345,218+,517,571,645,520,409,44.62
554,University of Missouri–Kansas City,USA,169,311,480,218+,634,447,645,471,687,44.61
556,Montana State University - Bozeman,USA,170,367+,477,218+,575,323,287,495,744,44.61
566,Utah State University,USA,171,166,352,218+,564,414,368,565,371,44.59
567,Baylor University,USA,172,367+,293,218+,682,681,321,540,630,44.59
571,Kent State University,USA,173,367+,567+,218+,610,436,511,486,498,44.58
585,University of Montana - Missoula,USA,174,353,567+,218+,713,315,428,503,702,44.54
590,Southern Illinois University Carbondale,USA,175,208,533,218+,591,512,812+,520,588,44.53
591,University of Alaska Fairbanks,USA,176,367+,420,218+,642,373,511,520,792,44.53
592,University of Toledo,USA,177,367+,567+,218+,618,555,812+,606,220,44.53
600,LSU Health Sciences Center New Orleans,USA,178,367+,567+,218+,823,544,645,503,661,44.52
605,Florida International University,USA,179,367+,567+,218+,496,508,428,540,585,44.5
606,University of Rhode Island,USA,180,367+,265,218+,664,385,511,637,472,44.5
607,Mississippi State University,USA,181,155,220,218+,605,608,645,754,566,44.5
609,University of New Orleans,USA,182,367+,567+,218+,944,840,428,511,871+,44.5
616,Texas A&M Health Science Center,USA,183,367+,567+,218+,672,440,645,558,336,44.49
625,Louisiana Tech University,USA,184,367+,197,218+,969,871,428,754,792,44.47
626,University of Texas at Arlington,USA,185,367+,567+,218+,492,532,511,565,462,44.47
635,State University of New York Upstate Medical University,USA,186,367+,567+,218+,774,632,428,549,598,44.45
643,Northern Illinois University,USA,187,367+,284,218+,669,661,321,671,621,44.44
647,Binghamton University,USA,188,367+,263,218+,710,593,812+,671,853,44.43
650,Albany Medical College,USA,189,171,567+,218+,893,771,645,579,720,44.43
655,University of Idaho,USA,190,367+,567+,218+,664,417,511,579,469,44.42
656,Old Dominion University,USA,191,367+,567+,218+,719,590,511,590,379,44.42
661,Portland State University,USA,192,367+,245,218+,800,548,812+,741,484,44.41
665,Loma Linda University,USA,193,367+,567+,218+,848,755,645,565,555,44.41
668,"University of Maine, Orono",USA,194,345,567+,218+,788,427,368,637,346,44.4
687,"University of Nevada, Las Vegas",USA,195,367+,448,218+,640,473,812+,622,861,44.38
710,Rochester Institute of Technology,USA,196,367+,431,218+,905,643,287,671,587,44.35
712,San Francisco State University,USA,197,271,567+,218+,864,572,511,622,871+,44.35
717,Marquette University,USA,198,367+,201,218+,912,785,812+,896,682,44.34
718,Missouri University of Science and Technology,USA,199,367+,246,218+,718,923,645,826,592,44.34
719,Howard University,USA,200,294,567+,218+,934,665,511,699,296,44.33
723,"Rutgers, The State University of New Jersey - Newark",USA,201,367+,567+,218+,832,515,645,637,871+,44.33
746,University of Memphis,USA,202,367+,382,218+,782,640,511,741,394,44.3
748,University of Missouri–St. Louis,USA,203,367+,371,218+,897,524,428,715,634,44.3
752,University of Alabama in Huntsville,USA,204,367+,567+,218+,921,432,645,659,805,44.3
754,University of Mississippi Medical Center,USA,205,367+,567+,218+,775,504,511,671,871+,44.29
761,New Jersey Institute of Technology,USA,206,259,472,218+,791,670,812+,741,391,44.28
762,East Carolina University,USA,207,367+,394,218+,699,685,812+,732,639,44.28
766,Northern Arizona University,USA,208,367+,537,218+,939,489,645,686,609,44.28
778,"University of North Texas, Denton",USA,209,367+,567+,218+,675,636,645,715,554,44.27
790,Michigan Technological University,USA,210,341,467,218+,794,769,428,741,581,44.25
792,North Dakota State University - Main Campus,USA,211,172,567+,218+,702,790,812+,770,871+,44.25
794,University of North Carolina at Charlotte,USA,212,367+,310,218+,741,662,511,826,593,44.25
809,Bowling Green State University,USA,213,367+,373,218+,910,705,645,781,824,44.23
823,Florida Institute of Technology,USA,214,367+,567+,218+,973,793,368,770,871+,44.21
825,University of Massachusetts Boston,USA,215,367+,429,218+,846,698,428,796,824,44.21
832,The Catholic University of America,USA,216,367+,407,218+,947,596,511,809,674,44.2
833,Wright State University - Dayton,USA,217,367+,567+,218+,810,805,812+,770,824,44.2
835,Clarkson University,USA,218,367+,390,218+,981,974,812+,809,685,44.19
844,University of South Alabama,USA,219,367+,567+,218+,979,784,812+,796,464,44.19
850,Hunter College,USA,220,261,438,218+,822,610,812+,826,805,44.18
856,Florida Atlantic University,USA,221,367+,567+,218+,855,741,812+,796,714,44.17
884,University of Massachusetts Lowell,USA,222,367+,528,218+,936,943,321,946,304,44.15
893,"Queens College, City University of New York",USA,223,323,374,218+,977,690,812+,886,729,44.14
897,University of North Carolina at Greensboro,USA,224,367+,567+,218+,899,825,645,850,575,44.13
901,University of Southern Mississippi,USA,225,367+,567+,218+,913,853,812+,850,676,44.13
906,Oakland University,USA,226,367+,567+,218+,888,810,812+,850,871+,44.13
913,University of North Dakota,USA,227,367+,567+,218+,917,731,812+,867,606,44.12
929,University of Texas at El Paso,USA,228,367+,442,218+,910,838,812+,906,706,44.1
936,"University of California, Merced",USA,229,367+,567+,218+,899,540,812+,906,491,44.09
,,,,,,,,,,,,
Copyright © 2012-2019 Center for World University Rankings,,,,,,,,,,,,
