World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
1,Harvard University,USA,1,1,1,1,1,1,1,1,3,100
2,Stanford University,USA,2,9,2,2,5,3,3,3,7,98.25
3,Massachusetts Institute of Technology,USA,3,2,12,3,15,2,2,2,1,97.12
6,Columbia University,USA,4,13,6,9,14,12,15,14,2,94.12
7,"University of California, Berkeley",USA,5,6,21,5,11,4,8,6,21,91.35
8,University of Chicago,USA,6,11,14,8,17,16,11,17,83,90.72
9,Princeton University,USA,7,4,15,4,82,25,26,37,109,88.72
10,Yale University,USA,8,8,26,11,18,6,31,18,41,85.83
11,California Institute of Technology,USA,9,5,338,7,67,13,20,25,9,83.74
12,Cornell University,USA,10,12,19,19,24,15,27,23,13,81.74
14,University of Pennsylvania,USA,11,22,4,26,8,18,12,11,11,77.6
15,"University of California, Los Angeles",USA,12,35,28,13,7,14,10,8,6,75.23
16,Johns Hopkins University,USA,13,18,89,16,4,10,4,4,4,70.44
17,"University of California, San Diego",USA,14,27,594+,18,16,5,16,16,16,67.59
18,"University of California, San Francisco",USA,15,378+,594+,14,23,7,18,10,55,66.97
19,University of Michigan,USA,16,25,20,139,3,19,5,12,12,66.6
21,Northwestern University,USA,17,176,11,75,28,36,31,26,40,66.14
22,New York University,USA,18,38,24,20,47,30,27,32,43,66.11
25,University of Wisconsin–Madison,USA,19,29,29,32,22,24,23,27,14,64.04
27,University of Washington,USA,20,41,112,23,10,9,8,5,25,63.38
28,Rockefeller University,USA,21,32,594+,12,395,28,136,81,240,61.64
29,Duke University,USA,22,80,33,46,21,23,13,15,24,61.32
32,University of Texas at Austin,USA,23,66,31,28,51,53,29,68,37,60.17
34,University of Illinois at Urbana–Champaign,USA,24,24,76,22,44,45,39,79,51,59.83
38,University of North Carolina at Chapel Hill,USA,25,134,74,61,32,29,17,22,30,57.4
40,University of Virginia,USA,26,220,18,129,105,82,78,103,63,56.86
43,Rutgers University,USA,27,112,42,29,68,59,57,60,68,56.08
44,University of Southern California,USA,28,164,62,35,63,60,84,56,22,55.89
45,University of Minnesota,USA,29,62,130,64,20,34,29,27,58,55.85
46,Ohio State University,USA,30,82,101,57,30,49,31,33,39,55.72
47,University of Pittsburgh,USA,31,85,169,235+,25,58,22,24,38,55.6
49,"University of California, Davis",USA,32,45,262,63,31,32,37,51,53,55.18
50,Dartmouth College,USA,33,48,16,235+,254,165,200,173,79,55.16
51,Washington University in St. Louis,USA,34,111,98,74,42,21,25,18,104,55.15
52,Pennsylvania State University,USA,35,272,60,67,38,39,41,42,68,54.48
