Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Quality Publications,Influence,Citations,broad inpact,patents,Score
"University of Maryland, Baltimore County",USA,160,383+,616+,240+,621,388,482,445,456,43.13
University of Dayton,USA,161,365,103,240+,998,901,576,864,521,43.11
"University of Nevada, Reno",USA,162,383+,448,240+,586,461,576,464,521,43.08
Creighton University,USA,163,383+,616+,240+,884,694,415,455,456,43.07
University of Missouri–Kansas City,USA,164,332,372,240+,651,435,709,469,713,43.07
University of Arkansas - Fayetteville,USA,165,229,284,240+,592,645,482,565,391,43.04
University of Texas at Arlington,USA,166,383+,593,240+,520,563,415,522,299,43.03
Utah State University,USA,167,185,364,240+,562,425,357,539,450,43.03
Kent State University,USA,168,383+,616+,240+,673,457,576,485,470,43.03
University of Alaska Fairbanks,USA,169,383+,397,240+,646,408,415,502,766,43.03
Florida International University,USA,170,383+,558,240+,497,508,415,509,499,43.02
University of Toledo,USA,171,383+,616+,240+,637,567,576,612,192,42.99
SUNY Downstate Medical Center,USA,172,383+,616+,157,792,462,709,522,541,42.98
Mississippi State University,USA,173,176,233,240+,625,574,576,667,564,42.96
University of Rhode Island,USA,174,383+,283,240+,692,400,576,621,410,42.94
University of Montana,USA,175,370,490,240+,723,352,302,552,649,42.94
Montana State University,USA,176,383+,540,240+,611,329,482,539,521,42.94
New York Medical College,USA,177,383+,616+,240+,830,732,709,522,686,42.92
New Mexico State University,USA,178,383+,491,240+,758,634,482,539,913+,42.91
Uniformed Services University of the Health Sciences,USA,179,383+,616+,240+,645,489,853+,565,913+,42.88
Northern Illinois University,USA,180,383+,293,240+,757,705,252,694,741,42.87
University of Texas at San Antonio,USA,181,383+,616+,240+,633,496,709,601,404,42.87
Old Dominion University,USA,182,383+,616+,240+,784,612,482,601,429,42.85
Louisiana Tech University,USA,183,383+,209,240+,996,897,482,764,704,42.85
Southern Illinois University Carbondale,USA,184,224,574,240+,615,564,709,612,576,42.85
University of Idaho,USA,185,383+,616+,240+,680,506,576,601,613,42.84
Portland State University,USA,186,383+,253,240+,789,636,709,715,521,42.84
State University of New York Upstate Medical University,USA,187,383+,616+,240+,810,602,576,601,541,42.83
Binghamton University,USA,188,383+,245,240+,722,689,709,744,663,42.82
Albany Medical College,USA,189,193,616+,240+,935,766,853+,644,713,42.79
University of New Orleans,USA,190,383+,616+,240+,991,865,319,644,825,42.79
University of Missouri–St. Louis,USA,191,383+,281,240+,927,629,576,728,576,42.78
University of Maine,USA,192,383+,616+,141,793,468,576,744,379,42.76
University of Alabama in Huntsville,USA,193,383+,616+,240+,952,447,709,644,766,42.76
University of North Carolina at Charlotte,USA,194,383+,305,240+,744,671,576,744,576,42.76
Florida Institute of Technology,USA,195,383+,616+,240+,977,718,278,694,913+,42.75
"University of Nevada, Las Vegas",USA,196,383+,455,240+,665,534,853+,682,686,42.74
University of North Texas,USA,197,383+,552,240+,683,658,482,682,564,42.74
Rochester Institute of Technology,USA,198,383+,445,240+,936,601,482,682,598,42.74
New Jersey Institute of Technology,USA,199,284,436,240+,839,666,357,851,233,42.73
East Carolina University,USA,200,383+,395,240+,720,692,853+,715,541,42.73
Loma Linda University,USA,201,383+,616+,240+,873,774,853+,705,418,42.72
North Dakota State University,USA,202,196,616+,240+,735,825,853+,820,296,42.7
Missouri University of Science and Technology,USA,203,383+,285,240+,803,927,709,842,521,42.7
Michigan Technological University,USA,204,361,519,240+,812,783,482,744,508,42.68
University of Memphis,USA,205,383+,331,240+,791,782,853+,828,499,42.67
Marquette University,USA,206,285,229,240+,933,806,853+,967,704,42.67
Northern Arizona University,USA,207,383+,546,240+,912,476,482,744,673,42.67
Howard University,USA,208,209,616+,240+,948,683,576,793,433,42.67
University of Massachusetts Boston,USA,209,383+,487,240+,833,713,415,793,807,42.65
Bowling Green State University,USA,210,383+,374,240+,949,742,482,820,766,42.64
San Francisco State University,USA,211,294,616+,214,912,620,853+,775,913+,42.64
"University of California, Merced",USA,212,383+,616+,240+,858,546,853+,820,576,42.61
University of South Alabama,USA,213,383+,616+,240+,982,811,709,820,515,42.61
University of Southern Mississippi,USA,214,383+,616+,240+,956,830,853+,828,726,42.59
University of North Dakota,USA,215,383+,569,240+,930,773,853+,851,521,42.58
Florida Atlantic University,USA,216,383+,616+,240+,872,716,853+,864,556,42.57
Wright State University,USA,217,383+,616+,240+,865,740,853+,864,842,42.56
The Catholic University of America,USA,218,383+,467,240+,988,633,576,887,686,42.55
Clarkson University,USA,219,383+,422,240+,993,965,853+,903,766,42.55
Hunter College,USA,220,286,498,240+,848,623,853+,903,766,42.55
University of Massachusetts Lowell,USA,221,383+,488,240+,939,973,482,974,333,42.55
University of North Carolina at Greensboro,USA,222,383+,616+,240+,883,864,709,887,686,42.54
"Queens College, City University of New York",USA,223,345,377,240+,976,753,853+,957,713,42.53
Oakland University,USA,224,383+,616+,240+,899,857,853+,920,862,42.52
University of Texas at El Paso,USA,225,383+,500,240+,885,877,853+,974,649,42.49
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
